iter	Passed	Remaining
0	1	117
1	2	109
2	3	103
3	3	95
4	5	97
5	6	95
6	7	94
7	8	93
8	9	92
9	10	90
10	10	88
11	11	86
12	12	84
13	13	82
14	14	80
15	15	79
16	16	78
17	16	76
18	17	74
19	18	72
20	18	70
21	19	69
22	20	68
23	21	67
24	22	66
25	22	65
26	23	64
27	24	63
28	25	62
29	26	61
30	27	60
31	28	59
32	28	58
33	29	57
34	30	56
35	31	55
36	32	54
37	32	53
38	33	52
39	34	51
40	35	50
41	35	49
42	36	48
43	37	47
44	38	47
45	39	46
46	40	45
47	41	45
48	42	44
49	43	43
50	44	42
51	44	41
52	45	40
53	46	39
54	46	38
55	47	37
56	48	36
57	48	35
58	49	34
59	50	33
60	50	32
61	51	31
62	52	30
63	52	29
64	53	28
65	54	27
66	54	26
67	55	26
68	56	25
69	56	24
70	57	23
71	57	22
72	58	21
73	59	20
74	59	19
75	60	19
76	61	18
77	61	17
78	62	16
79	63	15
80	63	14
81	64	14
82	65	13
83	65	12
84	66	11
85	67	10
86	67	10
87	68	9
88	69	8
89	69	7
90	70	6
91	70	6
92	71	5
93	72	4
94	72	3
95	73	3
96	74	2
97	74	1
98	75	0
99	76	0
