iter	Passed	Remaining
0	157	157349
1	158	78990
2	158	52788
3	159	39687
4	159	31821
5	160	26574
6	161	22839
7	161	20034
8	162	17850
9	162	16102
10	163	14673
11	163	13497
12	164	12493
13	165	11649
14	166	10908
15	166	10250
16	167	9668
17	167	9149
18	168	8685
19	168	8266
20	169	7889
21	169	7546
22	170	7232
23	170	6944
24	171	6680
25	171	6435
26	172	6208
27	172	5998
28	173	5802
29	173	5620
30	174	5449
31	174	5288
32	175	5138
33	175	4996
34	176	4863
35	176	4736
36	177	4625
37	178	4513
38	178	4407
39	179	4311
40	180	4219
41	181	4129
42	181	4043
43	182	3960
44	182	3880
45	183	3804
46	183	3730
47	184	3660
48	185	3592
49	185	3528
50	186	3466
51	186	3406
52	187	3348
53	187	3293
54	188	3239
55	189	3188
56	189	3138
57	190	3089
58	190	3043
59	191	3002
60	192	2958
61	192	2915
62	193	2876
63	194	2842
64	195	2808
65	195	2773
66	196	2738
67	197	2704
68	197	2671
69	198	2639
70	199	2607
71	199	2576
72	200	2545
73	201	2515
74	201	2485
75	202	2457
76	202	2430
77	203	2402
78	203	2376
79	204	2349
80	204	2324
81	205	2299
82	205	2273
83	206	2250
84	207	2228
85	207	2206
86	208	2186
87	209	2166
88	209	2147
89	210	2127
90	211	2107
91	211	2088
92	212	2069
93	212	2051
94	213	2032
95	213	2014
96	214	1996
97	215	1979
98	215	1961
99	216	1945
100	216	1928
101	217	1912
102	217	1896
103	218	1880
104	218	1865
105	219	1851
106	220	1836
107	220	1822
108	221	1808
109	221	1794
110	222	1781
111	222	1767
112	223	1755
113	224	1743
114	224	1731
115	225	1718
116	225	1705
117	226	1693
118	227	1681
119	227	1669
120	228	1657
121	228	1644
122	229	1633
123	229	1622
124	230	1611
125	230	1600
126	231	1589
127	231	1579
128	232	1569
129	232	1558
130	233	1549
131	234	1539
132	234	1530
133	235	1520
134	235	1510
135	236	1501
136	236	1491
137	237	1482
138	237	1473
139	238	1464
140	239	1457
141	239	1448
142	240	1441
143	241	1433
144	241	1425
145	242	1416
146	242	1408
147	243	1400
148	243	1392
149	244	1384
150	244	1376
151	245	1369
152	245	1361
153	246	1353
154	246	1345
155	247	1338
156	248	1331
157	248	1324
158	249	1317
159	249	1310
160	250	1303
161	250	1296
162	251	1289
163	251	1283
164	252	1276
165	252	1270
166	253	1263
167	254	1257
168	254	1252
169	255	1246
170	255	1240
171	256	1234
172	256	1228
173	257	1222
174	258	1216
175	258	1210
176	259	1205
177	259	1199
178	260	1193
179	260	1188
180	261	1182
181	261	1177
182	262	1172
183	263	1166
184	263	1161
185	264	1156
186	264	1150
187	265	1145
188	265	1140
189	266	1135
190	266	1130
191	267	1125
192	267	1120
193	268	1116
194	269	1112
195	270	1108
196	270	1103
197	271	1099
198	271	1094
199	272	1089
200	273	1085
201	273	1080
202	274	1076
203	274	1071
204	275	1067
205	275	1062
206	276	1058
207	276	1054
208	277	1050
209	278	1046
210	278	1043
211	279	1039
212	280	1035
213	280	1030
214	281	1026
215	281	1022
216	282	1018
217	282	1014
218	283	1010
219	284	1007
220	284	1003
221	285	1000
222	286	996
223	286	993
224	287	989
225	287	985
226	288	982
227	289	978
228	289	975
229	290	971
230	290	967
231	291	964
232	291	960
233	292	957
234	292	953
235	293	950
236	294	946
237	294	943
238	295	939
239	295	936
240	296	932
241	296	929
242	297	926
243	297	922
244	298	919
245	298	916
246	299	913
247	300	910
248	301	907
249	301	904
250	302	901
251	302	898
252	303	895
253	304	892
254	304	889
255	305	886
256	305	884
257	306	881
258	307	878
259	307	875
260	308	872
261	308	869
262	309	866
263	309	863
264	310	860
265	310	857
266	311	855
267	312	852
268	312	849
269	313	846
270	313	843
271	314	841
272	315	839
273	315	836
274	316	834
275	317	831
276	317	829
277	318	826
278	318	823
279	319	821
280	320	818
281	320	816
282	321	814
283	321	811
284	322	808
285	323	806
286	323	803
287	324	801
288	324	799
289	325	796
290	325	794
291	326	791
292	327	789
293	327	786
294	328	784
295	328	782
296	329	779
297	330	777
298	330	775
299	331	773
300	331	770
301	332	768
302	333	766
303	333	763
304	334	761
305	334	759
306	335	757
307	336	755
308	336	752
309	337	750
310	337	748
311	338	745
312	338	743
313	339	741
314	339	739
315	340	737
316	341	734
317	341	732
318	342	730
319	342	728
320	343	726
321	343	723
322	344	722
323	345	720
324	345	718
325	346	716
326	347	714
327	347	712
328	348	710
329	348	708
330	349	706
331	350	704
332	350	702
333	351	700
334	351	698
335	352	696
336	352	694
337	353	692
338	353	690
339	354	688
340	355	686
341	355	684
342	356	682
343	356	680
344	357	678
345	357	676
346	358	674
347	359	672
348	359	670
349	360	669
350	360	667
351	361	665
352	362	663
353	362	662
354	363	660
355	363	658
356	364	656
357	365	654
358	365	652
359	366	651
360	366	649
361	367	647
362	367	645
363	368	643
364	369	642
365	369	640
366	370	638
367	370	636
368	371	635
369	372	633
370	372	631
371	373	630
372	373	628
373	374	626
374	375	625
375	375	623
376	376	622
377	377	620
378	377	618
379	378	617
380	378	615
381	379	613
382	379	612
383	380	610
384	381	608
385	381	607
386	382	605
387	382	603
388	383	602
389	383	600
390	384	598
391	385	597
392	385	595
393	386	594
394	386	592
395	387	590
396	387	589
397	388	587
398	389	586
399	389	584
400	390	583
401	391	582
402	392	580
403	392	579
404	393	577
405	393	576
406	394	574
407	395	573
408	395	571
409	396	570
410	396	568
411	397	567
412	397	565
413	398	564
414	399	562
415	399	561
416	400	559
417	400	557
418	401	556
419	401	554
420	402	553
421	402	551
422	403	550
423	404	548
424	404	547
425	405	546
426	406	545
427	407	544
428	408	543
429	408	541
430	409	540
431	410	539
432	410	537
433	411	536
434	411	534
435	412	533
436	412	532
437	413	530
438	414	529
439	414	527
440	415	526
441	415	524
442	416	523
443	416	521
444	417	520
445	417	519
446	418	517
447	419	516
448	419	515
449	420	513
450	421	512
451	421	511
452	422	510
453	423	508
454	423	507
455	424	506
456	425	505
457	425	503
458	426	502
459	426	500
460	427	499
461	427	498
462	428	496
463	428	495
464	429	494
465	429	492
466	430	491
467	431	489
468	431	488
469	432	487
470	432	485
471	433	484
472	433	483
473	434	482
474	435	481
475	436	480
476	436	478
477	437	477
478	437	476
479	438	474
480	438	473
481	439	472
482	440	471
483	440	469
484	441	468
485	441	467
486	442	465
487	442	464
488	443	463
489	443	462
490	444	460
491	445	459
492	445	458
493	446	456
494	446	455
495	447	454
496	447	453
497	448	451
498	448	450
499	449	449
500	450	448
501	451	447
502	451	446
503	452	445
504	452	443
505	453	442
506	453	441
507	454	440
508	455	438
509	455	437
510	456	436
511	456	435
512	457	434
513	457	432
514	458	431
515	458	430
516	459	429
517	459	427
518	460	426
519	461	425
520	461	424
521	462	423
522	462	422
523	463	421
524	464	419
525	464	418
526	465	417
527	466	416
528	466	415
529	467	414
530	467	413
531	468	412
532	469	411
533	469	409
534	470	408
535	470	407
536	471	406
537	471	405
538	472	404
539	473	402
540	473	401
541	474	400
542	474	399
543	475	398
544	475	397
545	476	396
546	477	395
547	477	394
548	478	392
549	478	391
550	479	390
551	480	389
552	481	389
553	482	388
554	482	386
555	483	385
556	483	384
557	484	383
558	485	382
559	485	381
560	486	380
561	487	379
562	487	378
563	488	377
564	488	376
565	489	375
566	490	374
567	490	373
568	491	372
569	492	371
570	493	370
571	493	369
572	494	368
573	494	367
574	495	366
575	496	365
576	497	364
577	497	363
578	498	362
579	499	361
580	499	360
581	500	359
582	500	358
583	501	357
584	502	356
585	502	355
586	503	354
587	504	353
588	504	352
589	505	351
590	505	350
591	506	349
592	507	347
593	507	346
594	508	345
595	508	344
596	509	343
597	509	342
598	510	341
599	511	340
600	512	339
601	512	338
602	513	337
603	513	336
604	514	335
605	514	334
606	515	333
607	515	332
608	516	331
609	517	330
610	517	329
611	518	328
612	518	327
613	519	326
614	519	325
615	520	324
616	520	323
617	521	322
618	522	321
619	522	320
620	523	319
621	523	318
622	524	317
623	524	316
624	525	315
625	526	314
626	526	313
627	527	312
628	527	311
629	528	310
630	528	309
631	529	308
632	530	307
633	530	306
634	531	305
635	531	304
636	532	303
637	532	302
638	533	301
639	533	300
640	534	299
641	535	298
642	535	297
643	536	296
644	537	295
645	537	294
646	538	293
647	538	292
648	539	291
649	539	290
650	540	289
651	541	288
652	541	287
653	542	287
654	543	286
655	543	285
656	544	284
657	544	283
658	545	282
659	545	281
660	546	280
661	546	279
662	547	278
663	548	277
664	548	276
665	549	275
666	549	274
667	550	273
668	550	272
669	551	271
670	551	270
671	552	269
672	553	268
673	553	267
674	554	266
675	554	265
676	555	264
677	555	263
678	556	263
679	557	262
680	557	261
681	558	260
682	558	259
683	559	258
684	559	257
685	560	256
686	560	255
687	561	254
688	562	253
689	562	252
690	563	251
691	563	250
692	564	250
693	564	249
694	565	248
695	566	247
696	566	246
697	567	245
698	567	244
699	568	243
700	568	242
701	569	241
702	569	240
703	570	239
704	571	239
705	571	238
706	572	237
707	573	236
708	573	235
709	574	234
710	574	233
711	575	232
712	575	231
713	576	230
714	576	229
715	577	229
716	577	228
717	578	227
718	579	226
719	579	225
720	580	224
721	580	223
722	581	222
723	581	221
724	582	220
725	582	220
726	583	219
727	584	218
728	584	217
729	585	216
730	585	215
731	586	214
732	587	213
733	587	213
734	588	212
735	589	211
736	589	210
737	590	209
738	590	208
739	591	207
740	592	206
741	592	206
742	593	205
743	593	204
744	594	203
745	595	202
746	595	201
747	596	200
748	596	199
749	597	199
750	597	198
751	598	197
752	598	196
753	599	195
754	599	194
755	600	193
756	601	192
757	601	192
758	602	191
759	603	190
760	603	189
761	604	188
762	604	187
763	605	187
764	606	186
765	606	185
766	607	184
767	607	183
768	608	182
769	608	181
770	609	180
771	609	180
772	610	179
773	610	178
774	611	177
775	612	176
776	612	175
777	613	174
778	613	174
779	614	173
780	614	172
781	615	171
782	615	170
783	616	169
784	617	169
785	617	168
786	618	167
787	619	166
788	619	165
789	620	164
790	620	164
791	621	163
792	621	162
793	622	161
794	623	160
795	623	159
796	624	158
797	624	158
798	625	157
799	625	156
800	626	155
801	626	154
802	627	153
803	627	153
804	628	152
805	628	151
806	629	150
807	629	149
808	630	148
809	631	148
810	631	147
811	632	146
812	632	145
813	633	144
814	634	143
815	634	143
816	635	142
817	636	141
818	636	140
819	637	139
820	637	139
821	638	138
822	639	137
823	639	136
824	640	135
825	640	135
826	641	134
827	642	133
828	642	132
829	643	131
830	643	130
831	644	130
832	645	129
833	645	128
834	646	127
835	647	126
836	647	126
837	648	125
838	649	124
839	652	124
840	653	123
841	654	122
842	654	121
843	655	121
844	655	120
845	656	119
846	657	118
847	657	117
848	658	117
849	658	116
850	659	115
851	660	114
852	660	113
853	661	113
854	661	112
855	662	111
856	663	110
857	663	109
858	664	109
859	665	108
860	666	107
861	666	106
862	667	105
863	668	105
864	668	104
865	669	103
866	669	102
867	670	101
868	670	101
869	671	100
870	671	99
871	672	98
872	672	97
873	673	97
874	674	96
875	674	95
876	675	94
877	675	93
878	676	93
879	676	92
880	677	91
881	678	90
882	679	90
883	680	89
884	681	88
885	681	87
886	682	86
887	682	86
888	683	85
889	684	84
890	684	83
891	685	82
892	685	82
893	686	81
894	686	80
895	687	79
896	687	78
897	688	78
898	688	77
899	689	76
900	689	75
901	690	75
902	691	74
903	691	73
904	692	72
905	693	71
906	694	71
907	695	70
908	695	69
909	696	68
910	696	68
911	697	67
912	697	66
913	698	65
914	699	64
915	699	64
916	700	63
917	700	62
918	701	61
919	701	61
920	702	60
921	702	59
922	703	58
923	703	57
924	704	57
925	705	56
926	705	55
927	706	54
928	706	54
929	707	53
930	708	52
931	709	51
932	710	50
933	710	50
934	711	49
935	711	48
936	712	47
937	713	47
938	713	46
939	714	45
940	714	44
941	715	44
942	715	43
943	716	42
944	717	41
945	717	40
946	718	40
947	718	39
948	719	38
949	719	37
950	720	37
951	720	36
952	721	35
953	722	34
954	722	34
955	724	33
956	724	32
957	725	31
958	726	31
959	726	30
960	727	29
961	727	28
962	728	27
963	728	27
964	729	26
965	730	25
966	730	24
967	731	24
968	731	23
969	732	22
970	732	21
971	733	21
972	733	20
973	734	19
974	735	18
975	735	18
976	736	17
977	736	16
978	737	15
979	738	15
980	739	14
981	740	13
982	740	12
983	741	12
984	741	11
985	742	10
986	742	9
987	743	9
988	743	8
989	744	7
990	745	6
991	745	6
992	746	5
993	746	4
994	747	3
995	747	3
996	748	2
997	749	1
998	749	0
999	750	0
